artistGNDId,artistName (preferred),placeOfBirth,birth year,num_works,birth_year_span_start,latitude,longitude
103084053,"Prestel, Johann Gottlieb",Bad Grönenbach,1739.0,48,1700.0,47.8777154,10.2215159
103085432,"Poelenburg, Cornelis van",Utrecht,1586.0,2,1550.0,52.0907006,5.1215634
1031177477,"Belliard, Zéphirin Félix Jean Marius",Marseille,1798.0,4,1750.0,43.2961743,5.3699525
1031197869,"Chenu, Pierre",Paris,1730.0,2,1700.0,48.8588897,2.320041
103137297,Anonym,Görlitz,1554.0,1,1550.0,51.1563185,14.991018
103137297,"Scharffenberg, Georg",Görlitz,1554.0,1,1550.0,51.1563185,14.991018
103141693,"Bock, Christoph Wilhelm",Nürnberg,1755.0,2,1750.0,49.453872,11.077298
1031500545,"Lignon, Etienne Frédéric",Paris,1779.0,5,1750.0,48.8588897,2.320041
1031504125,"Alix, Pierre Michel",Paris,1762.0,8,1750.0,48.8588897,2.320041
1032055324,"Bourgeois, Constant",Guiscard,1767.0,41,1750.0,49.6552281,3.0500624
1033378852,"Flipart, Jean Jacques",Paris,1719.0,2,1700.0,48.8588897,2.320041
1033471461,"Poilly, François de",Paris,1671.0,2,1650.0,48.8588897,2.320041
1033734438,"Numan, Hermanus",Groningen,1744.0,1,1700.0,53.2190652,6.5680077
1033795224,"Argent, Adam Ludwig d'",Stuttgart,1748.0,1,1700.0,48.7784485,9.1800132
1033904031,"Lançon, Auguste André",Saint-Claude,1836.0,17,1800.0,46.3874699,5.8643866
1034026275,"Sabatier, Léon",Paris,1827.0,1,1800.0,48.8588897,2.320041
1034295136,"Geuder, Hans",Nürnberg-Reichelsdorf,1814.0,1,1800.0,49.3821641,11.0388552
1034346784,"Oleszczyński, Antoni",Krasnystaw,1794.0,1,1750.0,50.9918481,23.165038
1034660578,Anonym,Preßburg,1539.0,1,1500.0,48.1516988,17.1093063
1034660578,"Brun, Franz Isaac",Preßburg,1539.0,54,1500.0,48.1516988,17.1093063
1035269023,"Bass, Johannes",Lübeck,1600.0,1,1600.0,53.866444,10.684738
1035326191,"Ouvrier, Jean",Paris,1725.0,2,1700.0,48.8588897,2.320041
